33122,Air Mail Facility
32615,Alachua
32616,Alachua
32816,Alafaya
32820,Alafaya
32825,Alafaya
32826,Alafaya
32828,Alafaya
32831,Alafaya
32833,Alafaya
32834,Alafaya
32878,Alafaya
32420,Alford
32123,Allandale
32346,Alligator Point
32792,Aloma
32701,Altamonte Springs
32714,Altamonte Springs
32715,Altamonte Springs
32716,Altamonte Springs
32421,Altha
32702,Altoona
33820,Alturas
33920,Alva
32461,Alys Beach
32034,Amelia City
32034,Amelia Island
32035,Amelia Village
33336,American Express
33337,American Express
32885,Amsouth
32080,Anastasia Island
34216,Anna Maria
32617,Anthony
32320,Apalachicola
32329,Apalachicola
33572,Apollo Beach
32703,Apopka
32704,Apopka
32712,Apopka
34265,Arcadia
34266,Arcadia
34269,Arcadia
32618,Archer
32422,Argyle
34679,Aripeka
32033,Armstrong
34705,Astatula
32102,Astor
32233,Atlantic Bch
32224,Atlantic Beach
32233,Atlantic Beach
33462,Atlantis
33823,Auburndale
34142,Ave Maria
34143,Ave Maria
33160,Aventura
33180,Aventura
33280,Aventura
33825,Avon Park
33826,Avon Park
32807,Azalea Park
34211,B'TON
33827,Babson Park
32530,Bagdad
32531,Baker
33154,Bal Harbour
32234,Baldwin
33503,Balm
32105,Barberville
32976,Barefoot Bay
34134,Barefoot Bch
34134,Barefoot Beach
33161,Barry University
33830,Bartow
33831,Bartow
32423,Bascom
34972,Basinger
33154,Bay Harbor Island
33154,Bay Harbor Islands
32821,Bay Lake
33744,Bay Pines
34667,Bayonet Point
34207,Bayshore Gardens
32619,Bell
33430,Belle Glade
32809,Belle Isle
32812,Belle Isle
33756,Belleair
33785,Belleair Bch
33786,Belleair Bch
33785,Belleair Beach
33786,Belleair Beach
33770,Belleair Bluff
33770,Belleair Bluffs
33786,Belleair Shores
33786,Belleair Shrs
34420,Belleview
34421,Belleview
32526,Bellview
34464,Beverly Hills
34465,Beverly Hills
33043,Big Pine Key
33042,Big Torch Key
33161,Biscayne Park
33181,Biscayne Park
33261,Biscayne Park
32424,Blountstown
33921,Boca Grande
33427,Boca Raton
33428,Boca Raton
33429,Boca Raton
33431,Boca Raton
33432,Boca Raton
33433,Boca Raton
33434,Boca Raton
33464,Boca Raton
33481,Boca Raton
33486,Boca Raton
33487,Boca Raton
33488,Boca Raton
33496,Boca Raton
33497,Boca Raton
33498,Boca Raton
33499,Boca Raton
33922,Bokeelia
33326,Bonaventure
32425,Bonifay
34134,Bonita Beach
34133,Bonita Springs
34134,Bonita Springs
34135,Bonita Springs
34136,Bonita Springs
32007,Bostwick
33834,Bowling Green
33424,Boynton Beach
33425,Boynton Beach
33426,Boynton Beach
33435,Boynton Beach
33436,Boynton Beach
33437,Boynton Beach
33472,Boynton Beach
33473,Boynton Beach
33474,Boynton Beach
32064,Boys Ranch
34211,Brad
34201,Braden River
34203,Braden River
34204,Braden River
34211,Braden River
34201,Bradenton
34202,Bradenton
34203,Bradenton
34204,Bradenton
34205,Bradenton
34206,Bradenton
34207,Bradenton
34208,Bradenton
34209,Bradenton
34210,Bradenton
34211,Bradenton
34212,Bradenton
34280,Bradenton
34281,Bradenton
34282,Bradenton
34217,Bradenton Bch
34218,Bradenton Bch
34217,Bradenton Beach
34218,Bradenton Beach
34211,Bradington
33835,Bradley
33508,Brandon
33509,Brandon
33510,Brandon
33511,Brandon
32008,Branford
33231,Brickell
33435,Briny Breezes
32321,Bristol
32621,Bronson
32622,Brooker
34601,Brooksville
34602,Brooksville
34603,Brooksville
34604,Brooksville
34605,Brooksville
34606,Brooksville
34607,Brooksville
34608,Brooksville
34609,Brooksville
34610,Brooksville
34611,Brooksville
34613,Brooksville
34614,Brooksville
33388,Broward Mall
32455,Bruce
33438,Bryant
33439,Bryant
32009,Bryceville
34743,Buena Ventura Lakes
32110,Bunnell
33513,Bushnell
33633,Business Reply
34743,BVL
33158,C Gables
33234,C Gables
32011,Callahan
32404,Callaway
32426,Campbellton
33438,Canal Point
33439,Canal Point
32925,Canaveral Air Station
32925,Canaveral As
32111,Candler
32533,Cantonment
32920,Cape Canaveral
33904,Cape Coral
33909,Cape Coral
33910,Cape Coral
33914,Cape Coral
33915,Cape Coral
33990,Cape Coral
33991,Cape Coral
33993,Cape Coral
33910,Cape Coral S
33910,Cape Coral South
33946,Cape Haze
33947,Cape Haze
32456,Cape San Blas
33924,Captiva
33239,Carl Fisher
33055,Carol City
33056,Carol City
32322,Carrabelle
33618,Carrollwood
33625,Carrollwood
33688,Carrollwood
32425,Caryville
32427,Caryville
32706,Cassadaga
32707,Casselberry
32708,Casselberry
32718,Casselberry
32719,Casselberry
32730,Casselberry
32215,Cecil Field
34205,Cedar Hammock
32625,Cedar Key
34747,Celebration
33514,Center Hill
33514,Centerhill
32308,Centerville
32309,Centerville
32317,Centerville
32535,Century
33896,Champions Gate
33896,Champions GT
33029,Chapel Lakes
32324,Chattahoochee
32626,Chiefland
32644,Chiefland
32428,Chipley
32578,Choctaw Beach
34138,Chokoloskee
32709,Christmas
32766,Chuluota
32113,Citra
34442,Citrus Hills
32966,Citrus Ridge
32968,Citrus Ridge
32969,Citrus Ridge
34433,Citrus Springs
34434,Citrus Springs
32521,City of Pensacola
33313,City of Sunrise
33619,Clair Mel
33619,Clair Mel City
32710,Clarcona
32430,Clarksville
33755,Clearwater
33756,Clearwater
33757,Clearwater
33758,Clearwater
33759,Clearwater
33760,Clearwater
33761,Clearwater
33762,Clearwater
33763,Clearwater
33764,Clearwater
33765,Clearwater
33766,Clearwater
33767,Clearwater
33769,Clearwater
33767,Clearwater Beach
34711,Clermont
34712,Clermont
34713,Clermont
34714,Clermont
34715,Clermont
34713,Clermont South Branch Postal
34714,Clermont South Branch Postal
34715,Clermont South Branch Postal
33440,Clewiston
33406,Cloud Lake
34108,Coco River
32922,Cocoa
32923,Cocoa
32924,Cocoa
32926,Cocoa
32927,Cocoa
32931,Cocoa Beach
32932,Cocoa Beach
33063,Coconut Creek
33066,Coconut Creek
33073,Coconut Creek
33093,Coconut Creek
33097,Coconut Creek
33233,Coconut Gr
33133,Coconut Grove
33134,Coconut Grove
33146,Coconut Grove
33093,CoconutCreek
33521,Coleman
33001,Conch Key
33050,Conch Key
33024,Cooper City
33026,Cooper City
33328,Cooper City
33329,Cooper City
33330,Cooper City
34137,Copeland
33145,Coral
33114,Coral Gables
33124,Coral Gables
33133,Coral Gables
33134,Coral Gables
33143,Coral Gables
33144,Coral Gables
33145,Coral Gables
33146,Coral Gables
33156,Coral Gables
33158,Coral Gables
33234,Coral Gables
33158,Coral Gbls
33234,Coral Gbls
33065,Coral Springs
33067,Coral Springs
33071,Coral Springs
33073,Coral Springs
33075,Coral Springs
33076,Coral Springs
33077,Coral Springs
34215,Cortez
32431,Cottondale
33170,Country Lakes
33177,Country Lakes
33187,Country Lakes
32920,Cpe Canaveral
32326,Crawfordville
32327,Crawfordville
34242,Crescent Beach
32112,Crescent City
32531,Crestview
32536,Crestview
32539,Crestview
32628,Cross City
32640,Cross Creek
33037,Cross Key
33186,Crossings
34681,Crystal Beach
34423,Crystal River
34428,Crystal River
34429,Crystal River
33524,Crystal Springs
33042,Cudjoe Key
33157,Cutler Bay
33189,Cutler Bay
33190,Cutler Bay
33157,Cutler Ridge
33170,Cutler Ridge
33189,Cutler Ridge
33190,Cutler Ridge
32432,Cypress
33884,Cypress Gardens
33884,Cypress Gdns
33523,Dade City
33525,Dade City
33526,Dade City
33004,Dania
33312,Dania
33004,Dania Beach
33312,Dania Beach
